"","ARG1","CXCL1","LRG1","MMP9","OSCAR","QPCT","TNF","type"
"GSM1329616",4.50338,6.71736,5.89766,8.34714,8.28377,9.5476,7.14786,0
"GSM1329617",4.41263,5.46255,6.08186,6.7444,7.07484,9.98042,5.97898,0
"GSM1329618",4.2927575,6.8068,6.1336,6.93645,7.92018,9.29891,5.3299,0
"GSM1329619",4.1131775,5.80485,6.43297,6.88997,7.9561,9.08782,5.55033,0
"GSM1329620",3.9513075,6.17577,6.63854,7.10808,7.9826,9.85052,5.85603,0
"GSM1329621",4.240625,5.48135,6.18845,6.97697,7.52294,8.95643,5.99355,0
"GSM1329622",3.970435,5.23138,6.19658,6.96266,7.9169,9.45388,6.84844,0
"GSM1329623",4.262185,5.85883,6.70948,7.48323,8.20684,9.78084,6.35669,0
"GSM1329624",4.3001575,5.73641,5.92727,6.99055,7.99278,9.53618,6.61969,0
"GSM1329625",4.148345,5.5221,6.53494,7.47623,8.55212,10.0456,6.74533,0
"GSM1329626",6.1543925,8.66734,9.55308,13.0862,9.50637,11.1867,6.93717,1
"GSM1329627",4.809115,6.31899,6.12387,8.14663,7.3407,8.86847,8.19475,1
"GSM1329628",4.5531175,6.77595,6.76197,8.88312,8.28928,10.2069,6.4587,1
"GSM1329629",4.49745,6.16979,6.71257,8.03554,8.67733,9.77606,6.62243,1
"GSM1329630",4.71093,5.60779,6.47488,7.99588,8.5996,10.2315,6.29319,1
"GSM1329631",4.2921175,5.93192,6.80326,7.3394,8.67882,10.105,6.85435,1
"GSM1329632",4.088795,5.72938,6.28672,7.2032,8.45099,10.483,6.33202,1
"GSM1329633",4.9926475,6.85187,7.4241,8.15671,8.9842,9.91437,7.47422,1
"GSM1329634",4.030945,5.62176,6.13944,6.82154,8.29697,9.28895,6.27215,1
"GSM1329635",4.595445,9.66455,8.89779,9.43923,8.3843,10.5608,7.43213,1
"GSM1329636",3.9234875,7.95904,7.53937,7.74244,7.88979,9.57883,7.55359,1
"GSM1329637",4.26506,5.69449,6.50926,7.37714,8.53153,10.7276,6.89553,1
